2025-08-20 01:27:54 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:28:02 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:03 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:05 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:07 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:21 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:23 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:25 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:30:40 - EVENT:UPLOAD; filename=page_1.jpg; type=image/jpeg; size_kb=234.92
2025-08-20 01:30:43 - EVENT:UPLOAD; filename=page_1.jpg; type=image/jpeg; size_kb=234.92
2025-08-20 01:31:03 - EVENT:PARSE; filename=page_1
2025-08-20 01:31:03 - EVENT:TABLES_FOUND; filename=page_1; count=2
2025-08-20 01:31:15 - EVENT:SUMMARY_GEN; filename=page_1; status=success
2025-08-20 01:32:30 - EVENT:UPLOAD; filename=Understanding-MEFA-Supporting-Students-Through-Educational-Financing.png; type=image/png; size_kb=505.23
2025-08-20 01:35:23 - EVENT:UPLOAD; filename=page_1.jpg; type=image/jpeg; size_kb=234.92
2025-08-20 01:35:24 - EVENT:UPLOAD; filename=page_1.jpg; type=image/jpeg; size_kb=234.92
